mollie.title.payment_methods,Mollie Payment methods
mollie.button.clear_cache,Manually clear cache
mollie.button.filter_all,Show all methods
mollie.button.filter_activated,Show only enabled methods
Name,Name
Status,Status
Minimal amount,Minimal amount
Maximal amount,Maximal amount
Issuer List,Issuer List
Images,Images
Mollie payment methods,Mollie Payment Methods
mollie.title.profile,Profile overview
mollie.information,Information
mollie.package-version,Package version:
mollie.profile.id,Profile ID:
mollie.profile.status,Profile status:
mollie.profile.error-message.generic,Error contacting the mollie service to validate profile
mollie.profile.error-message.not-verified,Payments may not work in live mode until your profile is verified.
mollie.order.warning.capture-expiring,"Payment capture expiring in %s hours, please capture manually before that time"
mollie.order.warning.capture-expired,Capture expired
mollie.payment-method.warning.minimum-amount,Minimum amount must be under %s or over %s
mollie.payment-method.warning.maximum-amount,Maximum amount must be under %s or over %s